phase_id,track_id,track_label,readiness_status,scientifically_reportable,scientifically_frozen,inherited_provisional,main_blocker,reportable_now,reportability_scope,summary,evidence_path
phase1,phase1_regional_baseline,Phase 1 regional transport baseline selection,architecture_audited_production_rerun_needed,False,False,False,"The repo still lacks the accepted/rejected drogued 72 h segment registry generated from a true 2016-2022 regional drifter pool, so the frozen baseline cannot yet be defended as the final Chapter 3 Phase 1 study.",False,not_yet_scientifically_reportable,Architecture audited; the final 2016-2022 production rerun is still needed.,output/phase1_finalization_audit/phase1_finalization_status.json
phase2,phase2_machine_readable_forecast,Phase 2 machine-readable forecast products,scientifically_usable_not_frozen,True,False,True,"Phase 2 is scientifically usable on the promoted cmems_gfs baseline, but the final frozen story still depends on retiring legacy *_ncep runtime IDs from official-mode config space and closing the remaining transport-model provisionality.",True,scientifically_usable_official_forecast_products,"Scientifically usable as implemented, but not yet frozen.",output/phase2_finalization_audit/phase2_finalization_status.json
phase3a,A,Mindoro March 13 -> March 14 Track A comparator support,scientifically_informative_comparator,True,False,True,Comparator-only track with a shared-imagery caveat; upstream Mindoro transport baseline is still not frozen.,True,comparative_benchmark_discussion,"Same-case Track A comparator-only support attached to the March 13 -> March 14 R1 primary validation row. fss_1km=0.0000, fss_3km=0.0441, fss_5km=0.1371, fss_10km=0.2490",output/final_validation_package/final_validation_manifest.json
phase3b,B1,Mindoro March 13 -> March 14 R1 primary validation row,scientifically_reportable_primary_validation,True,False,True,"Phase 2 is scientifically usable on the promoted cmems_gfs baseline, but the final frozen story still depends on retiring legacy *_ncep runtime IDs from official-mode config space and closing the remaining transport-model provisionality.",True,main_text_primary_validation,"March 13 -> March 14 R1 primary validation row only; the focused 2016-2023 Mindoro drifter rerun found cmems_gfs as the historical winner, official B1 now uses cmems_gfs, and the stored promoted run remains tied to the existing R1_previous reinit lineage. fss_1km=0.0000, fss_3km=0.0441, fss_5km=0.1371, fss_10km=0.2490",output/final_validation_package/final_validation_manifest.json
phase3b,B2,Mindoro March 6 B2 archived sparse strict reference,scientifically_reportable_legacy_reference,True,False,True,"Phase 2 is scientifically usable on the promoted cmems_gfs baseline, but the final frozen story still depends on retiring legacy *_ncep runtime IDs from official-mode config space and closing the remaining transport-model provisionality.",True,legacy_sparse_reference,"B2 archived March 6 sparse reference; preserved for provenance only and not thesis-facing. fss_1km=0.0000, fss_3km=0.0000, fss_5km=0.0000, fss_10km=0.0000",output/final_validation_package/final_validation_manifest.json
phase3b,B3,Mindoro March 3-6 B3 archived broader-support reference,scientifically_reportable_legacy_reference,True,False,True,"Phase 2 is scientifically usable on the promoted cmems_gfs baseline, but the final frozen story still depends on retiring legacy *_ncep runtime IDs from official-mode config space and closing the remaining transport-model provisionality.",True,legacy_broader_support_reference,"B3 archived March 3-6 broader-support reference; preserved for provenance only. fss_1km=0.1722, fss_3km=0.2004, fss_5km=0.2166, fss_10km=0.2438",output/final_validation_package/final_validation_manifest.json
phase3c,C1,DWH deterministic external transfer validation,scientifically_reportable_transfer_validation,True,True,False,,True,external_rich_data_transfer_validation,"Frozen DWH deterministic transfer-validation baseline. fss_1km=0.5033, fss_3km=0.5523, fss_5km=0.5700, fss_10km=0.6018",output/final_validation_package/final_validation_manifest.json
phase3c,C2,DWH ensemble extension and deterministic-vs-ensemble comparison,scientifically_reportable_transfer_validation,True,True,False,,True,external_rich_data_transfer_validation,"Frozen DWH ensemble extension on the same truth masks; p50 preferred, p90 support-only. fss_1km=0.4997, fss_3km=0.5299, fss_5km=0.5467, fss_10km=0.5790",output/final_validation_package/final_validation_manifest.json
phase3c,C3,DWH PyGNOME comparator-only,scientifically_reportable_comparator,True,True,False,,True,cross_model_comparator,"Frozen DWH cross-model comparator; PyGNOME not truth. fss_1km=0.3197, fss_3km=0.3495, fss_5km=0.3689, fss_10km=0.4068",output/final_validation_package/final_validation_manifest.json
phase4,mindoro_phase4,Mindoro Phase 4 oil-budget interpretation,scientifically_reportable_inherited_provisional,True,False,True,"The frozen recipe still comes from three legacy prototype dates, not from a completed 2016-2022 regional drifter-segment study.",True,mindoro_oil_type_and_shoreline_interpretation,Phase 4 OpenDrift/OpenOil-only interpretation; inherited-provisional.,output/phase4/CASE_MINDORO_RETRO_2023/phase4_run_manifest.json
phase5,phase5_sync,Phase 5 reproducibility / launcher / docs sync,implemented_reportable_non_scientific_sync_layer,False,False,False,,True,non_scientific_reproducibility_and_documentation_layer,"Launcher, docs, and reproducibility packaging are synchronized around the current repo state without rerunning expensive science.",output/final_reproducibility_package/phase5_final_verdict.md
phase5,phase5_read_only_dashboard,Phase 5 read-only local dashboard,implemented_reportable_non_scientific_read_only_ui,False,False,True,Interactive run controls remain intentionally deferred; the first UI version is read-only by design.,True,read_only_local_dashboard_for_existing_outputs,The local dashboard is now available as a read-only Phase 5 exploration layer built on the current packaging outputs and publication-grade figures.,docs/UI_GUIDE.md
