requirement_id,requirement_group,chapter3_requirement,classification,scientifically_usable,requires_phase1_production_rerun_for_full_freeze,low_risk_patch_applied,evidence_summary,blocker,evidence_paths
deterministic_control_separate_from_ensemble,core_semantics,Deterministic control is kept separate from the ensemble products.,implemented_and_scientifically_ready,True,True,False,Forecast manifest exposes a deterministic-control NetCDF plus a separate ensemble manifest reference.,,output/CASE_MINDORO_RETRO_2023/forecast/forecast_manifest.json; output/CASE_MINDORO_RETRO_2023/ensemble/ensemble_manifest.json
canonical_product_names_and_semantics,core_semantics,Phase 2 uses canonical product names with stable mask_p50 and mask_p90 semantics.,implemented_and_scientifically_ready,True,True,True,"Canonical products present = ['control_density_norm', 'control_footprint_mask', 'mask_p50', 'mask_p50_datecomposite', 'mask_p90', 'prob_presence']. Product catalog rows = 7.",,output/CASE_MINDORO_RETRO_2023/forecast/forecast_manifest.json; output/CASE_MINDORO_RETRO_2023/ensemble/ensemble_manifest.json; docs/OUTPUT_CATALOG.md
ensemble_50_member_design,core_semantics,Official Phase 2 uses the fixed 50-member ensemble design.,implemented_and_scientifically_ready,True,True,False,Ensemble manifest records ensemble_size=50 and member_runs=50.,,output/CASE_MINDORO_RETRO_2023/ensemble/ensemble_manifest.json; config/ensemble.yaml
date_composite_logic,core_semantics,Official Phase 2 writes date-composite products without changing the meaning of mask_p50.,implemented_and_scientifically_ready,True,True,True,"Date-composite products present: prob_presence_datecomposite=True, mask_p50_datecomposite=True for 2023-03-06.",,output/CASE_MINDORO_RETRO_2023/ensemble/ensemble_manifest.json; src/services/ensemble.py
common_grid_same_grid_discipline,core_semantics,Deterministic and ensemble Phase 2 products share the same canonical scoring grid.,implemented_and_scientifically_ready,True,True,False,Forecast grid_id = EPSG:32651:1000.0:124x169:274000:1355000:398000:1524000; ensemble grid_id = EPSG:32651:1000.0:124x169:274000:1355000:398000:1524000.,,output/CASE_MINDORO_RETRO_2023/forecast/forecast_manifest.json; output/CASE_MINDORO_RETRO_2023/ensemble/ensemble_manifest.json
loading_audits_and_manifests,auditability,Phase 2 writes machine-readable manifests and loading audits with hard-fail coverage discipline.,implemented_and_scientifically_ready,True,True,False,"Forecast manifest exists = True, ensemble manifest exists = True, loading audit rows = 51.",,output/CASE_MINDORO_RETRO_2023/forecast/forecast_manifest.json; output/CASE_MINDORO_RETRO_2023/ensemble/ensemble_manifest.json; output/CASE_MINDORO_RETRO_2023/forecast/phase2_loading_audit.json; output/CASE_MINDORO_RETRO_2023/forecast/phase2_loading_audit.csv
explicit_provenance_status_fields,auditability,"Phase 2 exposes explicit provenance and status fields, including finalization honesty fields.",implemented_but_provisional,True,True,True,Existing manifests expose status_flags/recipe provenance = True. Current on-disk phase2_finalization block present = False. Code support for the honesty block = True.,"The read-only audit patched the manifest schema in code, but the existing official Phase 2 manifests were not regenerated by default.",output/CASE_MINDORO_RETRO_2023/forecast/forecast_manifest.json; output/CASE_MINDORO_RETRO_2023/ensemble/ensemble_manifest.json; output/CASE_MINDORO_RETRO_2023/forecast/phase2_loading_audit.json; src/services/ensemble.py
user_facing_output_names_and_help_text,user_facing,Official Phase 2 user-facing output names and launcher/help text use the canonical product story instead of obsolete prototype labels.,implemented_and_scientifically_ready,True,True,True,"README, docs, launcher help, and __main__ now point official users to forecast manifests, loading audits, prob_presence, mask_p50, and mask_p90 while keeping prototype outputs explicitly legacy/debug-only.",,README.md; docs/PHASE_STATUS.md; docs/ARCHITECTURE.md; docs/OUTPUT_CATALOG.md; start.ps1; src/__main__.py
phase1_recipe_family_drift_honesty,upstream_dependency,Phase 2 explicitly discloses remaining Phase 1 recipe-family drift instead of implying the full official family is already frozen locally.,implemented_but_provisional,True,True,True,"Official recipe family expected = ['cmems_era5', 'cmems_gfs', 'hycom_era5', 'hycom_gfs']; runtime-defined = ['cmems_era5', 'hycom_era5']; locally available = ['cmems_era5', 'hycom_era5']; legacy runtime IDs = ['cmems_ncep', 'hycom_ncep']; gfs_wind.nc present for the official case = False.","The current repo state still carries legacy *_ncep recipe IDs in config space and does not yet include gfs_wind.nc, so the Phase 2 frozen-baseline story remains upstream-provisional.",config/phase1_baseline_selection.yaml; config/recipes.yaml; src/services/ensemble.py; docs/PHASE_STATUS.md
missing_gfs_not_silent,upstream_dependency,Missing GFS support is stated honestly instead of silently distorting official-mode behavior.,implemented_but_provisional,True,True,True,Explicit GFS-missing guard messages found = 2; current official case has gfs_wind.nc = False.,"Official GFS forcing is still absent locally, so the audit can only document the gap and enforce clearer failure messages.",src/services/source_history_reconstruction_r1.py; src/services/phase3b_extended_public_scored.py; output/CASE_MINDORO_RETRO_2023/forecast/phase2_loading_audit.json
legacy_recipe_hits_inventory,upstream_dependency,Legacy recipe naming drift is inventoried instead of being hidden.,implemented_but_provisional,True,True,True,Legacy recipe-related code/config hits currently inventoried = 10.,Legacy naming drift still exists in config space and a few official-support branches; this patch makes that explicit but does not fully remove the drift.,config/recipes.yaml; src/services/phase3b_extended_public_scored.py; src/services/source_history_reconstruction_r1.py
