case_id,artifact_type,source_relative_path,final_relative_path,notes
CASE_2016-09-01,budget_light.csv,output/CASE_2016-09-01/weathering/budget_light.csv,output/2016 Legacy Runs FINAL Figures/summary/phase4/CASE_2016-09-01/budget_light.csv,Stored Phase 4 case summary table copied into the curated package.
CASE_2016-09-01,budget_heavy.csv,output/CASE_2016-09-01/weathering/budget_heavy.csv,output/2016 Legacy Runs FINAL Figures/summary/phase4/CASE_2016-09-01/budget_heavy.csv,Stored Phase 4 case summary table copied into the curated package.
CASE_2016-09-01,shoreline_light.csv,output/CASE_2016-09-01/weathering/shoreline_light.csv,output/2016 Legacy Runs FINAL Figures/summary/phase4/CASE_2016-09-01/shoreline_light.csv,Stored Phase 4 case summary table copied into the curated package.
CASE_2016-09-01,shoreline_heavy.csv,output/CASE_2016-09-01/weathering/shoreline_heavy.csv,output/2016 Legacy Runs FINAL Figures/summary/phase4/CASE_2016-09-01/shoreline_heavy.csv,Stored Phase 4 case summary table copied into the curated package.
CASE_2016-09-06,budget_light.csv,output/CASE_2016-09-06/weathering/budget_light.csv,output/2016 Legacy Runs FINAL Figures/summary/phase4/CASE_2016-09-06/budget_light.csv,Stored Phase 4 case summary table copied into the curated package.
CASE_2016-09-06,budget_heavy.csv,output/CASE_2016-09-06/weathering/budget_heavy.csv,output/2016 Legacy Runs FINAL Figures/summary/phase4/CASE_2016-09-06/budget_heavy.csv,Stored Phase 4 case summary table copied into the curated package.
CASE_2016-09-06,shoreline_light.csv,output/CASE_2016-09-06/weathering/shoreline_light.csv,output/2016 Legacy Runs FINAL Figures/summary/phase4/CASE_2016-09-06/shoreline_light.csv,Stored Phase 4 case summary table copied into the curated package.
CASE_2016-09-06,shoreline_heavy.csv,output/CASE_2016-09-06/weathering/shoreline_heavy.csv,output/2016 Legacy Runs FINAL Figures/summary/phase4/CASE_2016-09-06/shoreline_heavy.csv,Stored Phase 4 case summary table copied into the curated package.
CASE_2016-09-17,budget_light.csv,output/CASE_2016-09-17/weathering/budget_light.csv,output/2016 Legacy Runs FINAL Figures/summary/phase4/CASE_2016-09-17/budget_light.csv,Stored Phase 4 case summary table copied into the curated package.
CASE_2016-09-17,budget_heavy.csv,output/CASE_2016-09-17/weathering/budget_heavy.csv,output/2016 Legacy Runs FINAL Figures/summary/phase4/CASE_2016-09-17/budget_heavy.csv,Stored Phase 4 case summary table copied into the curated package.
CASE_2016-09-17,shoreline_light.csv,output/CASE_2016-09-17/weathering/shoreline_light.csv,output/2016 Legacy Runs FINAL Figures/summary/phase4/CASE_2016-09-17/shoreline_light.csv,Stored Phase 4 case summary table copied into the curated package.
CASE_2016-09-17,shoreline_heavy.csv,output/CASE_2016-09-17/weathering/shoreline_heavy.csv,output/2016 Legacy Runs FINAL Figures/summary/phase4/CASE_2016-09-17/shoreline_heavy.csv,Stored Phase 4 case summary table copied into the curated package.
