figure_id,board_family_code,board_family_label,case_id,phase_or_track,date_token,model_names,run_type,scenario_id,variant,relative_path,file_path,plain_language_interpretation,recommended_for_main_defense,source_paths,notes,status_key,status_label,status_role,status_reportability,status_official_status,status_frozen_status,status_provenance,status_panel_text,status_dashboard_summary
case_mindoro_retro_2023__phase3b_reinit_primary__opendrift__panel_board__2023_03_13_to_2023_03_14__panel__mindoro_primary_reinit_board,A,Mindoro March 13 -> March 14 primary validation board,CASE_MINDORO_RETRO_2023,phase3b_reinit_primary,2023-03-13_to_2023-03-14,opendrift,panel_board,,panel,output/trajectory_gallery_panel/case_mindoro_retro_2023__phase3b_reinit_primary__opendrift__panel_board__2023_03_13_to_2023_03_14__panel__mindoro_primary_reinit_board.png,/app/output/trajectory_gallery_panel/case_mindoro_retro_2023__phase3b_reinit_primary__opendrift__panel_board__2023_03_13_to_2023_03_14__panel__mindoro_primary_reinit_board.png,"The promoted March 13 -> March 14 board is presentation-ready as the main Mindoro validation board, provided the shared-imagery caveat is stated honestly.",True,output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit/qa_march13_seed_mask_on_grid.png;output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit/qa_march13_seed_vs_march14_target.png;output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit/qa_march14_reinit_R1_previous_overlay.png,"Built from stored March 13 -> March 14 reinit QA figures only, with the shared-imagery caveat preserved in the panel text.",mindoro_primary_validation,Mindoro March 13 -> March 14 R1 primary validation row,primary_validation,reportable_now_inherited_provisional,promoted_primary_validation,not_frozen,"March 13 seed, March 14 target, explicit shared March 12 imagery caveat, active Mindoro-specific recipe provenance from the separate focused 2016-2023 drifter rerun, and the preserved raw scientific note that the stored promoted B1 run remains tied to the existing R1_previous reinit lineage. This March 13 -> March 14 R1 label refers to the Phase 3B validation branch, not to the Phase 1 recipe-code family.","Main Mindoro B1 Phase 3B observation-based spatial validation view. This page will use the March 13 -> March 14 R1 primary validation row only. Phase 3B itself does not directly ingest drifters; it inherits the official cmems_gfs B1 recipe from the separate focused 2016-2023 Mindoro drifter rerun after that four-recipe rerun found cmems_gfs as the historical winner and promoted it directly into official B1, while the broader 2016-2022 regional rerun stays reference-only. The stored promoted B1 run remains tied to the existing R1_previous reinit lineage. Keep the shared March 12 imagery caveat explicit.","March 13 -> March 14 R1 primary validation row only; the focused 2016-2023 Mindoro drifter rerun found cmems_gfs as the historical winner, official B1 now uses cmems_gfs, and the stored promoted run remains tied to the existing R1_previous reinit lineage."
case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift_vs_pygnome__panel_board__2023_03_14__panel__mindoro_crossmodel_reinit_board,B,Mindoro March 13 -> March 14 cross-model comparator board,CASE_MINDORO_RETRO_2023,phase3a_reinit_crossmodel,2023-03-14,opendrift_vs_pygnome,panel_board,,panel,output/trajectory_gallery_panel/case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift_vs_pygnome__panel_board__2023_03_14__panel__mindoro_crossmodel_reinit_board.png,/app/output/trajectory_gallery_panel/case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift_vs_pygnome__panel_board__2023_03_14__panel__mindoro_crossmodel_reinit_board.png,The promoted March 14 cross-model board gives a clean side-by-side answer to the model-comparison question while keeping PyGNOME in a comparator-only role.,True,output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit_pygnome_comparison/qa/qa_march14_crossmodel_R0_reinit_p50_overlay.png;output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit_pygnome_comparison/qa/qa_march14_crossmodel_R1_previous_reinit_p50_overlay.png;output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit_pygnome_comparison/qa/qa_march14_crossmodel_pygnome_reinit_deterministic_overlay.png,Built from stored March 13 -> March 14 cross-model QA figures only; PyGNOME remains comparator-only and the shared-imagery caveat stays explicit.,mindoro_crossmodel_comparator,Mindoro March 13 -> March 14 Track A comparator support,comparator_only,reportable_comparator_inherited_provisional,comparator_only_not_truth,not_frozen,Same March 14 target as the March 13 -> March 14 R1 primary validation row; same-case Track A comparator support remains separate from truth and PyGNOME remains comparator-only.,"Same-case Track A comparator support attached to the March 13 -> March 14 R1 primary validation row on the March 14 target. PyGNOME is a comparator, not truth, and Track A is not a co-primary validation row. Archived March 13 -> March 14 R0 comparator outputs are not part of this thesis-facing view.",Same-case Track A comparator-only support attached to the March 13 -> March 14 R1 primary validation row.
case_mindoro_retro_2023__phase3b_legacy_strict__opendrift__panel_board__2023_03_06__panel__mindoro_legacy_march6_board,C,Mindoro legacy March 6 honesty / limitations board,CASE_MINDORO_RETRO_2023,phase3b_legacy_strict,2023-03-06,opendrift,panel_board,,panel,output/trajectory_gallery_panel/case_mindoro_retro_2023__phase3b_legacy_strict__opendrift__panel_board__2023_03_06__panel__mindoro_legacy_march6_board.png,/app/output/trajectory_gallery_panel/case_mindoro_retro_2023__phase3b_legacy_strict__opendrift__panel_board__2023_03_06__panel__mindoro_legacy_march6_board.png,"This board keeps the legacy March 6 sparse-reference result visible for transparency, but it should be framed as an honesty and limitations board rather than the main validation board.",False,output/CASE_MINDORO_RETRO_2023/phase3b/qa_phase3b_obsmask_vs_p50.png;output/CASE_MINDORO_RETRO_2023/phase3b/qa_phase3b_source_init_validation_overlay.png;output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit/qa_march13_seed_vs_march14_target.png,"Built from stored March 6 strict QA figures plus one promoted March 13 -> March 14 context panel, and retained as an honesty-only legacy board.",mindoro_legacy_march6,Mindoro March 6 B2 archived sparse strict reference,legacy_reference,archive_only_provenance_reference,archive_only_not_thesis_facing,not_frozen,Sparse March 6 reference retained as archive-only provenance material.,"Archive only. B2 is preserved for provenance, audit, reproducibility, and methods traceability, but it is not thesis-facing and is not part of the main Mindoro validation page or main paper.",B2 archived March 6 sparse reference; preserved for provenance only and not thesis-facing.
case_mindoro_retro_2023__phase2_official__opendrift__panel_board__2023_03_03_to_2023_03_06__panel__mindoro_trajectory_board,D,Mindoro trajectory board,CASE_MINDORO_RETRO_2023,phase2_official,2023-03-03_to_2023-03-06,opendrift,panel_board,,panel,output/trajectory_gallery_panel/case_mindoro_retro_2023__phase2_official__opendrift__panel_board__2023_03_03_to_2023_03_06__panel__mindoro_trajectory_board.png,/app/output/trajectory_gallery_panel/case_mindoro_retro_2023__phase2_official__opendrift__panel_board__2023_03_03_to_2023_03_06__panel__mindoro_trajectory_board.png,"The Mindoro trajectory board is one of the clearest early-slide figures because it shows path, spread, and corridor structure without relying on score-table literacy.",True,output/trajectory_gallery/case_mindoro_retro_2023__phase2_official__opendrift__deterministic_track_map__2023_03_03_to_2023_03_06__sampled_particle_paths.png;output/trajectory_gallery/case_mindoro_retro_2023__phase2_official__opendrift__ensemble_sampled_member_centroids__2023_03_03_to_2023_03_06__member_centroid_paths.png;output/trajectory_gallery/case_mindoro_retro_2023__phase2_phase3b__opendrift__corridor_hull_view__2023_03_06__p50_p90_hull_overlay.png,Built from the existing raw trajectory gallery panels.,mindoro_trajectory_context,Mindoro transport trajectory context,trajectory_context,scientifically_usable_not_frozen,official_transport_context_not_frozen,not_frozen,Phase 2 / Phase 3 transport context built from stored trajectory outputs.,Read-only transport context preserved from stored trajectory outputs. This layer is not thesis-facing main-page evidence and is better read as provenance or audit support.,Transport-context archive/support layer from a scientifically usable but not frozen branch.
case_mindoro_retro_2023__phase4__openoil__panel_board__2023_03_03_to_2023_03_06__all_scenarios__panel__mindoro_phase4_oil_budget_board,E,Mindoro Phase 4 oil-budget board,CASE_MINDORO_RETRO_2023,phase4,2023-03-03_to_2023-03-06,openoil,panel_board,all_scenarios,panel,output/trajectory_gallery_panel/case_mindoro_retro_2023__phase4__openoil__panel_board__2023_03_03_to_2023_03_06__all_scenarios__panel__mindoro_phase4_oil_budget_board.png,/app/output/trajectory_gallery_panel/case_mindoro_retro_2023__phase4__openoil__panel_board__2023_03_03_to_2023_03_06__all_scenarios__panel__mindoro_phase4_oil_budget_board.png,"Mindoro Phase 4 already supports clear oil-type comparisons on the currently reportable transport replay, with the medium-heavy proxy still flagged for mass-balance follow-up.",True,output/trajectory_gallery/case_mindoro_retro_2023__phase4__openoil__oil_budget_summary__2023_03_03_to_2023_03_06__all_scenarios__mass_budget_comparison.png;output/trajectory_gallery/case_mindoro_retro_2023__phase4__openoil__oil_budget_timeseries__2023_03_03_to_2023_03_06__fixed_base_medium_heavy_proxy__mass_budget_timeseries.png;output/trajectory_gallery/case_mindoro_retro_2023__phase4__openoil__oil_budget_timeseries__2023_03_03_to_2023_03_06__heavier_oil__mass_budget_timeseries.png;output/trajectory_gallery/case_mindoro_retro_2023__phase4__openoil__oil_budget_timeseries__2023_03_03_to_2023_03_06__lighter_oil__mass_budget_timeseries.png,Built from stored Phase 4 oil-budget PNG outputs only; no weathering rerun was triggered.,mindoro_phase4_oil_budget,Mindoro Phase 4 oil-budget interpretation,phase4_openoil_only,reportable_now_inherited_provisional,opendrift_openoil_only_not_cross_model,not_frozen,OpenDrift/OpenOil-only Phase 4 output; inherited-provisional from upstream transport.,"These are current OpenDrift/OpenOil Phase 4 interpretation outputs, not cross-model figures.",Phase 4 OpenDrift/OpenOil-only interpretation; inherited-provisional.
case_mindoro_retro_2023__phase4__openoil__panel_board__2023_03_03_to_2023_03_06__all_scenarios__panel__mindoro_phase4_shoreline_board,F,Mindoro Phase 4 shoreline-arrival / shoreline-impact board,CASE_MINDORO_RETRO_2023,phase4,2023-03-03_to_2023-03-06,openoil,panel_board,all_scenarios,panel,output/trajectory_gallery_panel/case_mindoro_retro_2023__phase4__openoil__panel_board__2023_03_03_to_2023_03_06__all_scenarios__panel__mindoro_phase4_shoreline_board.png,/app/output/trajectory_gallery_panel/case_mindoro_retro_2023__phase4__openoil__panel_board__2023_03_03_to_2023_03_06__all_scenarios__panel__mindoro_phase4_shoreline_board.png,"Shoreline arrival outputs and scenario-specific segment impacts are available now for Mindoro, with heavier oils producing the strongest shoreline burden under the current replay.",True,output/trajectory_gallery/case_mindoro_retro_2023__phase4__openoil__shoreline_arrival_summary__2023_03_03_to_2023_03_06__all_scenarios__scenario_arrival_bars.png;output/trajectory_gallery/case_mindoro_retro_2023__phase4__openoil__shoreline_impact_summary__2023_03_03_to_2023_03_06__all_scenarios__shoreline_impacts.png;output/trajectory_gallery/case_mindoro_retro_2023__phase4__openoil__shoreline_segment_impact_map__2023_03_03_to_2023_03_06__all_scenarios__segment_midpoint_impacts.png,Built from stored Phase 4 shoreline summary figures and CSV-derived gallery outputs only.,mindoro_phase4_shoreline,Mindoro Phase 4 shoreline interpretation,phase4_openoil_only,reportable_now_inherited_provisional,opendrift_openoil_only_not_cross_model,not_frozen,OpenDrift/OpenOil-only shoreline outputs on the current reportable replay.,These shoreline figures are part of the current OpenDrift/OpenOil interpretation layer and should not be framed as cross-model results.,Phase 4 shoreline interpretation; inherited-provisional.
case_dwh_retro_2010_72h__phase3c_external_case_run__opendrift__panel_board__2010_05_21_to_2010_05_23__panel__dwh_deterministic_board,G,DWH deterministic forecast-vs-observation board,CASE_DWH_RETRO_2010_72H,phase3c_external_case_run,2010-05-21_to_2010-05-23,opendrift,panel_board,,panel,output/trajectory_gallery_panel/case_dwh_retro_2010_72h__phase3c_external_case_run__opendrift__panel_board__2010_05_21_to_2010_05_23__panel__dwh_deterministic_board.png,/app/output/trajectory_gallery_panel/case_dwh_retro_2010_72h__phase3c_external_case_run__opendrift__panel_board__2010_05_21_to_2010_05_23__panel__dwh_deterministic_board.png,The DWH deterministic board is panel-ready and supports the plain-language claim that a separate external transfer-validation case succeeds on observed DWH truth masks.,True,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_run/qa_phase3c_eventcorridor_overlay.png;output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_run/qa_phase3c_overlays.png;output/trajectory_gallery/case_dwh_retro_2010_72h__phase3c_external_case_run__opendrift__deterministic_track_map__2010_05_20_to_2010_05_23__sampled_particle_paths.png,Built from stored DWH deterministic QA figures and the raw deterministic track map.,dwh_trajectory_context,DWH trajectory context,trajectory_context,appendix_support_context,trajectory_context_only,not_frozen,"Stored deterministic, ensemble, and comparator tracks shown as path context.",Path-intuition context before or after the score-based boards.,Trajectory appendix-support context.
case_dwh_retro_2010_72h__phase3c_ensemble__opendrift__panel_board__2010_05_21_to_2010_05_23__panel__dwh_deterministic_vs_ensemble_board,H,DWH deterministic vs ensemble board,CASE_DWH_RETRO_2010_72H,phase3c_ensemble,2010-05-21_to_2010-05-23,opendrift,panel_board,,panel,output/trajectory_gallery_panel/case_dwh_retro_2010_72h__phase3c_ensemble__opendrift__panel_board__2010_05_21_to_2010_05_23__panel__dwh_deterministic_vs_ensemble_board.png,/app/output/trajectory_gallery_panel/case_dwh_retro_2010_72h__phase3c_ensemble__opendrift__panel_board__2010_05_21_to_2010_05_23__panel__dwh_deterministic_vs_ensemble_board.png,"This board is ready for the panel because it explains deterministic, p50, and p90 side by side against the observed DWH truth corridor on the same readiness-gated forcing stack.",True,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_run/qa_phase3c_eventcorridor_overlay.png;output/trajectory_gallery/case_dwh_retro_2010_72h__phase3c_ensemble__opendrift__ensemble_overlay__2010_05_21_to_2010_05_23__eventcorridor_overlay.png;output/trajectory_gallery/case_dwh_retro_2010_72h__phase3c_ensemble__opendrift__ensemble_overlay__2010_05_21_to_2010_05_23__p50_p90_overlays.png,Built from stored DWH deterministic and ensemble QA figures plus the raw gallery overlays.,dwh_trajectory_context,DWH trajectory context,trajectory_context,appendix_support_context,trajectory_context_only,not_frozen,"Stored deterministic, ensemble, and comparator tracks shown as path context.",Path-intuition context before or after the score-based boards.,Trajectory appendix-support context.
case_dwh_retro_2010_72h__phase3c_pygnome_comparator__opendrift_vs_pygnome__panel_board__2010_05_21_to_2010_05_23__panel__dwh_model_comparison_board,I,DWH OpenDrift vs PyGNOME comparison board,CASE_DWH_RETRO_2010_72H,phase3c_pygnome_comparator,2010-05-21_to_2010-05-23,opendrift_vs_pygnome,panel_board,,panel,output/trajectory_gallery_panel/case_dwh_retro_2010_72h__phase3c_pygnome_comparator__opendrift_vs_pygnome__panel_board__2010_05_21_to_2010_05_23__panel__dwh_model_comparison_board.png,/app/output/trajectory_gallery_panel/case_dwh_retro_2010_72h__phase3c_pygnome_comparator__opendrift_vs_pygnome__panel_board__2010_05_21_to_2010_05_23__panel__dwh_model_comparison_board.png,The DWH model-comparison board is presentation-ready because it clearly positions PyGNOME as comparator-only while keeping the observed DWH truth masks and OpenDrift transfer-validation result visible.,True,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_run/qa_phase3c_eventcorridor_overlay.png;output/trajectory_gallery/case_dwh_retro_2010_72h__phase3c_pygnome_comparator__opendrift_vs_pygnome__comparison_overlay__2010_05_21_to_2010_05_23__eventcorridor_overlay.png;output/trajectory_gallery/case_dwh_retro_2010_72h__phase3c_pygnome_comparator__opendrift_vs_pygnome__comparison_overlay__2010_05_21_to_2010_05_23__per_date_overlays.png,Built from stored DWH comparator QA figures and the deterministic event-corridor overlay.,dwh_trajectory_context,DWH trajectory context,trajectory_context,appendix_support_context,trajectory_context_only,not_frozen,"Stored deterministic, ensemble, and comparator tracks shown as path context.",Path-intuition context before or after the score-based boards.,Trajectory appendix-support context.
case_dwh_retro_2010_72h__phase3c_trajectories__opendrift_vs_pygnome__panel_board__2010_05_20_to_2010_05_23__panel__dwh_trajectory_board,J,DWH trajectory board,CASE_DWH_RETRO_2010_72H,phase3c_trajectories,2010-05-20_to_2010-05-23,opendrift_vs_pygnome,panel_board,,panel,output/trajectory_gallery_panel/case_dwh_retro_2010_72h__phase3c_trajectories__opendrift_vs_pygnome__panel_board__2010_05_20_to_2010_05_23__panel__dwh_trajectory_board.png,/app/output/trajectory_gallery_panel/case_dwh_retro_2010_72h__phase3c_trajectories__opendrift_vs_pygnome__panel_board__2010_05_20_to_2010_05_23__panel__dwh_trajectory_board.png,The DWH trajectory board is useful appendix-support material because it makes the model-path behavior visible before score comparisons on the observed DWH truth masks.,False,output/trajectory_gallery/case_dwh_retro_2010_72h__phase3c_ensemble__opendrift__ensemble_overlay__2010_05_21_to_2010_05_23__p50_p90_overlays.png;output/trajectory_gallery/case_dwh_retro_2010_72h__phase3c_external_case_run__opendrift__deterministic_track_map__2010_05_20_to_2010_05_23__sampled_particle_paths.png;output/trajectory_gallery_panel/_support/case_dwh_retro_2010_72h__phase3c_pygnome_comparator__pygnome__sampled_track_panel__2010_05_20_to_2010_05_23__support__dwh_pygnome_track.png,"Built from the raw DWH deterministic track map, the raw ensemble overlay, and a new read-only sampled PyGNOME track panel derived from the stored comparator NetCDF.",dwh_trajectory_context,DWH trajectory context,trajectory_context,appendix_support_context,trajectory_context_only,not_frozen,"Stored deterministic, ensemble, and comparator tracks shown as path context.",Path-intuition context before or after the score-based boards.,Trajectory appendix-support context.
