final_relative_path,source_relative_path,artifact_group,track_id,scientific_vs_display_only,primary_vs_secondary,comparator_only,provenance_note,status_key,status_label,status_role,status_reportability,status_official_status,status_frozen_status,status_provenance,status_panel_text,status_dashboard_summary,surface_key,surface_label,surface_description,surface_home_visible,surface_panel_visible,surface_archive_visible,surface_advanced_visible,surface_recommended_visible
output/Phase 3B March13-14 Final Output/publication/observations/march13_seed_mask_on_grid.png,output/figure_package_publication/case_mindoro_retro_2023__phase3b_reinit_primary__observation__single_seed_observation__2023_03_13__single__paper__march13_seed_mask_on_grid.png,publication/observations,B1,display_only,primary,False,Display-only publication rendering derived from stored March 13/14 observation geometry; no scientific rerun and no direct drifter ingestion inside Phase 3B.,mindoro_primary_validation,Mindoro March 13 -> March 14 R1 primary validation row,primary_validation,reportable_now_inherited_provisional,promoted_primary_validation,not_frozen,"March 13 seed, March 14 target, explicit shared March 12 imagery caveat, active Mindoro-specific recipe provenance from the separate focused 2016-2023 drifter rerun, and the preserved raw scientific note that the stored promoted B1 run remains tied to the existing R1_previous reinit lineage. This March 13 -> March 14 R1 label refers to the Phase 3B validation branch, not to the Phase 1 recipe-code family.","Main Mindoro B1 Phase 3B observation-based spatial validation view. This page will use the March 13 -> March 14 R1 primary validation row only. Phase 3B itself does not directly ingest drifters; it inherits the official cmems_gfs B1 recipe from the separate focused 2016-2023 Mindoro drifter rerun after that four-recipe rerun found cmems_gfs as the historical winner and promoted it directly into official B1, while the broader 2016-2022 regional rerun stays reference-only. The stored promoted B1 run remains tied to the existing R1_previous reinit lineage. Keep the shared March 12 imagery caveat explicit.","March 13 -> March 14 R1 primary validation row only; the focused 2016-2023 Mindoro drifter rerun found cmems_gfs as the historical winner, official B1 now uses cmems_gfs, and the stored promoted run remains tied to the existing R1_previous reinit lineage.",thesis_main,Thesis-facing main surface,Eligible for thesis-facing home and main presentation surfaces.,True,True,False,True,True
output/Phase 3B March13-14 Final Output/publication/observations/march14_target_mask_on_grid.png,output/CASE_MINDORO_RETRO_2023/phase3b_extended_public/accepted_obs_masks/10b37c42a9754363a5f7b14199b077e6.tif,publication/observations,B1,display_only,primary,False,Display-only publication rendering derived from stored March 13/14 observation geometry; no scientific rerun and no direct drifter ingestion inside Phase 3B.,mindoro_primary_validation,Mindoro March 13 -> March 14 R1 primary validation row,primary_validation,reportable_now_inherited_provisional,promoted_primary_validation,not_frozen,"March 13 seed, March 14 target, explicit shared March 12 imagery caveat, active Mindoro-specific recipe provenance from the separate focused 2016-2023 drifter rerun, and the preserved raw scientific note that the stored promoted B1 run remains tied to the existing R1_previous reinit lineage. This March 13 -> March 14 R1 label refers to the Phase 3B validation branch, not to the Phase 1 recipe-code family.","Main Mindoro B1 Phase 3B observation-based spatial validation view. This page will use the March 13 -> March 14 R1 primary validation row only. Phase 3B itself does not directly ingest drifters; it inherits the official cmems_gfs B1 recipe from the separate focused 2016-2023 Mindoro drifter rerun after that four-recipe rerun found cmems_gfs as the historical winner and promoted it directly into official B1, while the broader 2016-2022 regional rerun stays reference-only. The stored promoted B1 run remains tied to the existing R1_previous reinit lineage. Keep the shared March 12 imagery caveat explicit.","March 13 -> March 14 R1 primary validation row only; the focused 2016-2023 Mindoro drifter rerun found cmems_gfs as the historical winner, official B1 now uses cmems_gfs, and the stored promoted run remains tied to the existing R1_previous reinit lineage.",thesis_main,Thesis-facing main surface,Eligible for thesis-facing home and main presentation surfaces.,True,True,False,True,True
output/Phase 3B March13-14 Final Output/publication/observations/march13_seed_vs_march14_target.png,output/figure_package_publication/case_mindoro_retro_2023__phase3b_reinit_primary__observation__single_seed_target_compare__2023_03_13_to_2023_03_14__single__paper__march13_seed_vs_march14_target.png,publication/observations,B1,display_only,primary,False,Display-only publication rendering derived from stored March 13/14 observation geometry; no scientific rerun and no direct drifter ingestion inside Phase 3B.,mindoro_primary_validation,Mindoro March 13 -> March 14 R1 primary validation row,primary_validation,reportable_now_inherited_provisional,promoted_primary_validation,not_frozen,"March 13 seed, March 14 target, explicit shared March 12 imagery caveat, active Mindoro-specific recipe provenance from the separate focused 2016-2023 drifter rerun, and the preserved raw scientific note that the stored promoted B1 run remains tied to the existing R1_previous reinit lineage. This March 13 -> March 14 R1 label refers to the Phase 3B validation branch, not to the Phase 1 recipe-code family.","Main Mindoro B1 Phase 3B observation-based spatial validation view. This page will use the March 13 -> March 14 R1 primary validation row only. Phase 3B itself does not directly ingest drifters; it inherits the official cmems_gfs B1 recipe from the separate focused 2016-2023 Mindoro drifter rerun after that four-recipe rerun found cmems_gfs as the historical winner and promoted it directly into official B1, while the broader 2016-2022 regional rerun stays reference-only. The stored promoted B1 run remains tied to the existing R1_previous reinit lineage. Keep the shared March 12 imagery caveat explicit.","March 13 -> March 14 R1 primary validation row only; the focused 2016-2023 Mindoro drifter rerun found cmems_gfs as the historical winner, official B1 now uses cmems_gfs, and the stored promoted run remains tied to the existing R1_previous reinit lineage.",thesis_main,Thesis-facing main surface,Eligible for thesis-facing home and main presentation surfaces.,True,True,False,True,True
output/Phase 3B March13-14 Final Output/publication/opendrift_primary/march14_r1_previous_overlay.png,output/figure_package_publication/case_mindoro_retro_2023__phase3b_reinit_primary__opendrift__single_primary_overlay__2023_03_14__single__paper__march14_r1_previous_overlay.png,publication/opendrift_primary,B1,display_only,primary,False,Curated publication export over stored B1 OpenDrift artifacts. B1 inherits recipe provenance from the The separate focused 2016-2023 Mindoro drifter rerun selected `cmems_gfs` as the active B1 recipe provenance.,mindoro_primary_validation,Mindoro March 13 -> March 14 R1 primary validation row,primary_validation,reportable_now_inherited_provisional,promoted_primary_validation,not_frozen,"March 13 seed, March 14 target, explicit shared March 12 imagery caveat, active Mindoro-specific recipe provenance from the separate focused 2016-2023 drifter rerun, and the preserved raw scientific note that the stored promoted B1 run remains tied to the existing R1_previous reinit lineage. This March 13 -> March 14 R1 label refers to the Phase 3B validation branch, not to the Phase 1 recipe-code family.","Main Mindoro B1 Phase 3B observation-based spatial validation view. This page will use the March 13 -> March 14 R1 primary validation row only. Phase 3B itself does not directly ingest drifters; it inherits the official cmems_gfs B1 recipe from the separate focused 2016-2023 Mindoro drifter rerun after that four-recipe rerun found cmems_gfs as the historical winner and promoted it directly into official B1, while the broader 2016-2022 regional rerun stays reference-only. The stored promoted B1 run remains tied to the existing R1_previous reinit lineage. Keep the shared March 12 imagery caveat explicit.","March 13 -> March 14 R1 primary validation row only; the focused 2016-2023 Mindoro drifter rerun found cmems_gfs as the historical winner, official B1 now uses cmems_gfs, and the stored promoted run remains tied to the existing R1_previous reinit lineage.",thesis_main,Thesis-facing main surface,Eligible for thesis-facing home and main presentation surfaces.,True,True,False,True,True
output/Phase 3B March13-14 Final Output/publication/opendrift_primary/mindoro_primary_validation_board.png,output/figure_package_publication/case_mindoro_retro_2023__phase3b_reinit_primary__opendrift__comparison_board__2023_03_13_to_2023_03_14__board__slide__mindoro_primary_validation_board.png,publication/opendrift_primary,B1,display_only,primary,False,Curated publication export over stored B1 OpenDrift artifacts. B1 inherits recipe provenance from the The separate focused 2016-2023 Mindoro drifter rerun selected `cmems_gfs` as the active B1 recipe provenance.,mindoro_primary_validation,Mindoro March 13 -> March 14 R1 primary validation row,primary_validation,reportable_now_inherited_provisional,promoted_primary_validation,not_frozen,"March 13 seed, March 14 target, explicit shared March 12 imagery caveat, active Mindoro-specific recipe provenance from the separate focused 2016-2023 drifter rerun, and the preserved raw scientific note that the stored promoted B1 run remains tied to the existing R1_previous reinit lineage. This March 13 -> March 14 R1 label refers to the Phase 3B validation branch, not to the Phase 1 recipe-code family.","Main Mindoro B1 Phase 3B observation-based spatial validation view. This page will use the March 13 -> March 14 R1 primary validation row only. Phase 3B itself does not directly ingest drifters; it inherits the official cmems_gfs B1 recipe from the separate focused 2016-2023 Mindoro drifter rerun after that four-recipe rerun found cmems_gfs as the historical winner and promoted it directly into official B1, while the broader 2016-2022 regional rerun stays reference-only. The stored promoted B1 run remains tied to the existing R1_previous reinit lineage. Keep the shared March 12 imagery caveat explicit.","March 13 -> March 14 R1 primary validation row only; the focused 2016-2023 Mindoro drifter rerun found cmems_gfs as the historical winner, official B1 now uses cmems_gfs, and the stored promoted run remains tied to the existing R1_previous reinit lineage.",thesis_main,Thesis-facing main surface,Eligible for thesis-facing home and main presentation surfaces.,True,True,False,True,True
output/Phase 3B March13-14 Final Output/publication/comparator_pygnome/march14_crossmodel_r1_overlay.png,output/figure_package_publication/case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift__single_model_overlay__2023_03_14__single__paper__march14_crossmodel_r1_overlay.png,publication/comparator_pygnome,A,display_only,secondary,True,Comparator-only publication export for the same March 13 -> March 14 case. PyGNOME is not truth and does not replace the primary OpenDrift-vs-observation claim.,mindoro_crossmodel_comparator,Mindoro March 13 -> March 14 Track A comparator support,comparator_only,reportable_comparator_inherited_provisional,comparator_only_not_truth,not_frozen,Same March 14 target as the March 13 -> March 14 R1 primary validation row; same-case Track A comparator support remains separate from truth and PyGNOME remains comparator-only.,"Same-case Track A comparator support attached to the March 13 -> March 14 R1 primary validation row on the March 14 target. PyGNOME is a comparator, not truth, and Track A is not a co-primary validation row. Archived March 13 -> March 14 R0 comparator outputs are not part of this thesis-facing view.",Same-case Track A comparator-only support attached to the March 13 -> March 14 R1 primary validation row.,comparator_support,Support / comparator surface,"Support, comparator, or context material kept separate from the primary thesis claim.",True,True,False,True,True
output/Phase 3B March13-14 Final Output/publication/comparator_pygnome/march14_crossmodel_pygnome_overlay.png,output/figure_package_publication/case_mindoro_retro_2023__phase3a_reinit_crossmodel__pygnome__single_model_overlay__2023_03_14__single__paper__march14_crossmodel_pygnome_overlay.png,publication/comparator_pygnome,A,display_only,secondary,True,Comparator-only publication export for the same March 13 -> March 14 case. PyGNOME is not truth and does not replace the primary OpenDrift-vs-observation claim.,mindoro_crossmodel_comparator,Mindoro March 13 -> March 14 Track A comparator support,comparator_only,reportable_comparator_inherited_provisional,comparator_only_not_truth,not_frozen,Same March 14 target as the March 13 -> March 14 R1 primary validation row; same-case Track A comparator support remains separate from truth and PyGNOME remains comparator-only.,"Same-case Track A comparator support attached to the March 13 -> March 14 R1 primary validation row on the March 14 target. PyGNOME is a comparator, not truth, and Track A is not a co-primary validation row. Archived March 13 -> March 14 R0 comparator outputs are not part of this thesis-facing view.",Same-case Track A comparator-only support attached to the March 13 -> March 14 R1 primary validation row.,comparator_support,Support / comparator surface,"Support, comparator, or context material kept separate from the primary thesis claim.",True,True,False,True,True
output/Phase 3B March13-14 Final Output/publication/comparator_pygnome/mindoro_crossmodel_board.png,output/figure_package_publication/case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift_vs_pygnome__comparison_board__2023_03_14__board__slide__mindoro_crossmodel_board.png,publication/comparator_pygnome,A,display_only,secondary,True,Comparator-only publication export for the same March 13 -> March 14 case. PyGNOME is not truth and does not replace the primary OpenDrift-vs-observation claim.,mindoro_crossmodel_comparator,Mindoro March 13 -> March 14 Track A comparator support,comparator_only,reportable_comparator_inherited_provisional,comparator_only_not_truth,not_frozen,Same March 14 target as the March 13 -> March 14 R1 primary validation row; same-case Track A comparator support remains separate from truth and PyGNOME remains comparator-only.,"Same-case Track A comparator support attached to the March 13 -> March 14 R1 primary validation row on the March 14 target. PyGNOME is a comparator, not truth, and Track A is not a co-primary validation row. Archived March 13 -> March 14 R0 comparator outputs are not part of this thesis-facing view.",Same-case Track A comparator-only support attached to the March 13 -> March 14 R1 primary validation row.,comparator_support,Support / comparator surface,"Support, comparator, or context material kept separate from the primary thesis claim.",True,True,False,True,True
output/Phase 3B March13-14 Final Output/publication/comparator_pygnome/mindoro_observed_masks_ensemble_pygnome_board.png,output/figure_package_publication/case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift_vs_pygnome__comparison_board__2023_03_13_to_2023_03_14__board__slide__mindoro_observed_masks_ensemble_pygnome_board.png,publication/comparator_pygnome,A,display_only,secondary,True,Comparator-only publication export for the same March 13 -> March 14 case. PyGNOME is not truth and does not replace the primary OpenDrift-vs-observation claim.,mindoro_crossmodel_comparator,Mindoro March 13 -> March 14 Track A comparator support,comparator_only,reportable_comparator_inherited_provisional,comparator_only_not_truth,not_frozen,Same March 14 target as the March 13 -> March 14 R1 primary validation row; same-case Track A comparator support remains separate from truth and PyGNOME remains comparator-only.,"Same-case Track A comparator support attached to the March 13 -> March 14 R1 primary validation row on the March 14 target. PyGNOME is a comparator, not truth, and Track A is not a co-primary validation row. Archived March 13 -> March 14 R0 comparator outputs are not part of this thesis-facing view.",Same-case Track A comparator-only support attached to the March 13 -> March 14 R1 primary validation row.,comparator_support,Support / comparator surface,"Support, comparator, or context material kept separate from the primary thesis claim.",True,True,False,True,True
output/Phase 3B March13-14 Final Output/scientific_source_pngs/opendrift_primary/qa_march13_seed_mask_on_grid.png,output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit/qa_march13_seed_mask_on_grid.png,scientific_source_pngs/opendrift_primary,B1,scientific_source_png,primary,False,Exact stored QA/source PNGs used to derive the primary OpenDrift publication family.,mindoro_primary_validation,Mindoro March 13 -> March 14 R1 primary validation row,primary_validation,reportable_now_inherited_provisional,promoted_primary_validation,not_frozen,"March 13 seed, March 14 target, explicit shared March 12 imagery caveat, active Mindoro-specific recipe provenance from the separate focused 2016-2023 drifter rerun, and the preserved raw scientific note that the stored promoted B1 run remains tied to the existing R1_previous reinit lineage. This March 13 -> March 14 R1 label refers to the Phase 3B validation branch, not to the Phase 1 recipe-code family.","Main Mindoro B1 Phase 3B observation-based spatial validation view. This page will use the March 13 -> March 14 R1 primary validation row only. Phase 3B itself does not directly ingest drifters; it inherits the official cmems_gfs B1 recipe from the separate focused 2016-2023 Mindoro drifter rerun after that four-recipe rerun found cmems_gfs as the historical winner and promoted it directly into official B1, while the broader 2016-2022 regional rerun stays reference-only. The stored promoted B1 run remains tied to the existing R1_previous reinit lineage. Keep the shared March 12 imagery caveat explicit.","March 13 -> March 14 R1 primary validation row only; the focused 2016-2023 Mindoro drifter rerun found cmems_gfs as the historical winner, official B1 now uses cmems_gfs, and the stored promoted run remains tied to the existing R1_previous reinit lineage.",thesis_main,Thesis-facing main surface,Eligible for thesis-facing home and main presentation surfaces.,True,True,False,True,True
