requirement_id,requirement_group,chapter3_requirement,classification,scientifically_ready,full_production_rerun_required,low_risk_patch_applied,evidence_summary,blocker,evidence_paths
historical_window_2016_2022,core_architecture,Historical regional drifter pool covers 2016-2022.,partially_implemented,False,True,False,Local Phase 1 rankings exist for 3 prototype dates covering year(s): 2016. The target Chapter 3 window is 2016-2022.,Only the legacy three-date prototype evidence is present locally; the multi-year regional pool has not been built.,output/CASE_2016-09-01/validation/validation_ranking.csv; output/CASE_2016-09-06/validation/validation_ranking.csv; output/CASE_2016-09-17/validation/validation_ranking.csv
fixed_regional_validation_box,core_architecture,Phase 1 uses a fixed regional validation box.,implemented_but_provisional,False,True,True,"Fixed regional-box metadata is present with bounds [115.0, 122.0, 6.0, 14.5].",The box is frozen in metadata but has not yet been exercised through the final 2016-2022 accepted/rejected segment study.,config/phase1_baseline_selection.yaml; config/settings.yaml
drogued_segments_only_core_pool,core_architecture,Only drogued segments enter the core historical pool.,missing,False,True,False,"Prototype drifter headers expose columns ['time', 'lat', 'lon', 'ID', 've', 'vn'].",No explicit drogue-status filtering was found in the local Phase 1 data path.,data/drifters/CASE_2016-09-01/drifters_noaa.csv; src/services/validation.py
non_overlapping_72h_segments,core_architecture,Core regional validation uses non-overlapping 72 h segments.,partially_implemented,False,True,True,"Prototype Phase 1 runs are 72 h windows for dates ['2016-09-01', '2016-09-06', '2016-09-17'], but no accepted/rejected segment registry exists.",The repo does not yet materialize a general non-overlapping segment registry for the 2016-2022 regional pool.,output/CASE_2016-09-01/validation/validation_ranking.csv; output/CASE_2016-09-06/validation/validation_ranking.csv; output/CASE_2016-09-17/validation/validation_ranking.csv; config/phase1_baseline_selection.yaml
official_recipe_family,core_architecture,Official Phase 1 recipe family is HYCOM/CMEMS crossed with GFS/ERA5.,partially_implemented,False,True,True,"Target recipe family metadata = ['cmems_era5', 'cmems_gfs', 'hycom_era5', 'hycom_gfs']; runtime Phase 1 recipe IDs = ['cmems_era5', 'cmems_ncep', 'hycom_era5', 'hycom_ncep']; legacy alias map = ['cmems_ncep', 'hycom_ncep']; gfs_wind.nc present locally = False.","Core Phase 1 runtime still only defines legacy recipe IDs missing ['cmems_gfs', 'hycom_gfs'], and no local gfs_wind.nc forcing is present.",config/recipes.yaml
loading_audit_hard_fail_behavior,core_architecture,Phase 1 writes an explicit loading audit and hard-fails when required forcing support is invalid.,implemented_but_provisional,False,True,True,Validation service exposes phase1_loading_audit_v2 with policy `invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain`. Existing on-disk Phase 1 audits already carry the new fields = False.,Regenerate the historical Phase 1 audits during the real 2016-2022 production run so the new hard-fail/status fields exist on disk.,output/CASE_2016-09-01/validation/phase1_loading_audit.csv; output/CASE_2016-09-06/validation/phase1_loading_audit.csv; output/CASE_2016-09-17/validation/phase1_loading_audit.csv; src/services/validation.py
accepted_segment_registry,required_artifacts,Accepted regional Phase 1 segments are recorded in an explicit registry.,missing,False,True,False,No accepted-segment registry was found under output/.,The final 2016-2022 accepted regional segment registry has not been produced locally.,
rejected_segment_registry,required_artifacts,Rejected regional Phase 1 segments are recorded in an explicit registry.,missing,False,True,False,No rejected-segment registry was found under output/.,The final 2016-2022 rejected regional segment registry has not been produced locally.,
segment_metrics,required_artifacts,Phase 1 exports segment-level metrics for the accepted/rejected regional pool.,missing,False,True,False,No dedicated Phase 1 segment-metrics artifact was found under output/.,The final regional accepted/rejected segment metrics still require the dedicated 2016-2022 run.,
recipe_summary,required_artifacts,Phase 1 exports a summary table across the regional segment study before final recipe ranking.,missing,False,True,False,No dedicated Phase 1 recipe-summary artifact was found.,The regional recipe-summary layer still needs to be generated from the final segment registry.,
recipe_ranking,required_artifacts,Phase 1 exports recipe rankings from the historical regional study.,implemented_but_provisional,False,True,False,Validation rankings exist for 3 prototype runs; the current frozen recipe is `cmems_era5`.,"Current rankings come from the old prototype cases, not from the final 2016-2022 regional segment corpus.",output/CASE_2016-09-01/validation/validation_ranking.csv; output/CASE_2016-09-06/validation/validation_ranking.csv; output/CASE_2016-09-17/validation/validation_ranking.csv
frozen_baseline_artifact,required_artifacts,Phase 1 emits a frozen baseline artifact for downstream spill-case workflows.,implemented_but_provisional,False,True,True,Frozen baseline artifact exists and currently selects `cmems_era5`.,"The artifact is real, but its evidence base is still the legacy three-date prototype rather than the final regional study.",config/phase1_baseline_selection.yaml; output/CASE_2016-09-01/validation/validation_ranking.csv; output/CASE_2016-09-06/validation/validation_ranking.csv; output/CASE_2016-09-17/validation/validation_ranking.csv
transport_vs_spill_validation_separation,workflow_guardrails,Historical/regional transport validation remains separate from spill-case validation.,implemented_and_scientifically_ready,True,False,False,"Official spill-case workflows consume a frozen Phase 1 baseline, while the final validation package is read-only and built from separate finished Mindoro/DWH outputs.",,src/__main__.py; src/core/case_context.py; src/services/final_validation_package.py; output/final_validation_package/final_validation_manifest.json
prototype_mode_preserved_not_final_study,workflow_guardrails,Prototype mode remains available but is not misrepresented as the final Phase 1 study.,implemented_and_scientifically_ready,True,False,True,"prototype_2016 remains the preserved debugging workflow, and the runtime context now explicitly labels it as non-final.",,config/settings.yaml; src/core/case_context.py; README.md
