figure_id,display_title,figure_family_code,figure_family_label,case_id,phase_or_track,date_token,model_names,run_type,scenario_id,view_type,variant,relative_path,file_path,pixel_width,pixel_height,short_plain_language_interpretation,recommended_for_main_defense,recommended_for_paper,source_paths,notes,status_key,status_label,status_role,status_reportability,status_official_status,status_frozen_status,status_provenance,status_panel_text,status_dashboard_summary,surface_key,surface_label,surface_description,surface_home_visible,surface_panel_visible,surface_archive_visible,surface_advanced_visible,surface_recommended_visible,thesis_surface,archive_only,legacy_support,comparator_support,display_order,page_target,study_box_id,study_box_numbers,study_box_label,recommended_scope
case_mindoro_retro_2023__phase3b_reinit_primary__opendrift__comparison_board__2023_03_13_to_2023_03_14__board__slide__mindoro_primary_validation_board,Mindoro March 13 -> March 14 primary validation board,A,Mindoro March 13 -> March 14 primary validation package,CASE_MINDORO_RETRO_2023,phase3b_reinit_primary,2023-03-13_to_2023-03-14,opendrift,comparison_board,,board,slide,output/figure_package_publication/case_mindoro_retro_2023__phase3b_reinit_primary__opendrift__comparison_board__2023_03_13_to_2023_03_14__board__slide__mindoro_primary_validation_board.png,/app/output/figure_package_publication/case_mindoro_retro_2023__phase3b_reinit_primary__opendrift__comparison_board__2023_03_13_to_2023_03_14__board__slide__mindoro_primary_validation_board.png,3520,1980,"This is now the main Mindoro presentation board for Phase 3B observation-based spatial validation using public Mindoro spill extents because it centers the promoted March 13 -> March 14 validation pair, the thesis-facing R1 row, and the shared-imagery caveat without rewriting the stored run provenance.",True,False,data/arcgis/CASE_MINDORO_RETRO_2023/source_point_metadata_processed.gpkg | output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit/march13_seed_mask_on_grid.tif | output/CASE_MINDORO_RETRO_2023/phase3b_extended_public/accepted_obs_masks/10b37c42a9754363a5f7b14199b077e6.tif | output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit/R1_previous/forecast_datecomposites/mask_p50_2023-03-14_localdate.tif,Board assembled from publication-grade March 13 -> March 14 singles rebuilt from stored rasters and vectors only.,mindoro_primary_validation,Mindoro March 13 -> March 14 R1 primary validation row,primary_validation,reportable_now_inherited_provisional,promoted_primary_validation,not_frozen,"March 13 seed, March 14 target, explicit shared March 12 imagery caveat, active Mindoro-specific recipe provenance from the separate focused 2016-2023 drifter rerun, and the preserved raw scientific note that the stored promoted B1 run remains tied to the existing R1_previous reinit lineage. This March 13 -> March 14 R1 label refers to the Phase 3B validation branch, not to the Phase 1 recipe-code family.","Main Mindoro B1 Phase 3B observation-based spatial validation view. This page will use the March 13 -> March 14 R1 primary validation row only. Phase 3B itself does not directly ingest drifters; it inherits the official cmems_gfs B1 recipe from the separate focused 2016-2023 Mindoro drifter rerun after that four-recipe rerun found cmems_gfs as the historical winner and promoted it directly into official B1, while the broader 2016-2022 regional rerun stays reference-only. The stored promoted B1 run remains tied to the existing R1_previous reinit lineage. Keep the shared March 12 imagery caveat explicit.","March 13 -> March 14 R1 primary validation row only; the focused 2016-2023 Mindoro drifter rerun found cmems_gfs as the historical winner, official B1 now uses cmems_gfs, and the stored promoted run remains tied to the existing R1_previous reinit lineage.",thesis_main,Thesis-facing main surface,Eligible for thesis-facing home and main presentation surfaces.,True,True,False,True,True,True,False,False,False,100,mindoro_validation,,,,main_text
case_mindoro_retro_2023__phase3b_reinit_primary__opendrift__single_primary_overlay__2023_03_14__single__paper__march14_r1_previous_overlay,Mindoro March 14 promoted OpenDrift R1_previous,A,Mindoro March 13 -> March 14 primary validation package,CASE_MINDORO_RETRO_2023,phase3b_reinit_primary,2023-03-14,opendrift,single_primary_overlay,,single,paper,output/figure_package_publication/case_mindoro_retro_2023__phase3b_reinit_primary__opendrift__single_primary_overlay__2023_03_14__single__paper__march14_r1_previous_overlay.png,/app/output/figure_package_publication/case_mindoro_retro_2023__phase3b_reinit_primary__opendrift__single_primary_overlay__2023_03_14__single__paper__march14_r1_previous_overlay.png,2860,1760,"This is the promoted March 14 Mindoro validation overlay for phase 3b observation-based spatial validation using public mindoro spill extents, rebuilt from stored rasters with the same publication grammar used by the DWH boards.",True,True,data/arcgis/CASE_MINDORO_RETRO_2023/source_point_metadata_processed.gpkg | output/CASE_MINDORO_RETRO_2023/phase3b_extended_public/accepted_obs_masks/10b37c42a9754363a5f7b14199b077e6.tif | output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit/march13_seed_mask_on_grid.tif | output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit/R1_previous/forecast_datecomposites/mask_p50_2023-03-14_localdate.tif,"Built from the stored March 14 observation mask, the stored March 13 seed mask outline, and the stored OpenDrift R1 previous p50 raster only; the later 2016-2023 Mindoro-focused drifter rerun now supplies the active B1 recipe provenance through the promoted focused winner.",mindoro_primary_validation,Mindoro March 13 -> March 14 R1 primary validation row,primary_validation,reportable_now_inherited_provisional,promoted_primary_validation,not_frozen,"March 13 seed, March 14 target, explicit shared March 12 imagery caveat, active Mindoro-specific recipe provenance from the separate focused 2016-2023 drifter rerun, and the preserved raw scientific note that the stored promoted B1 run remains tied to the existing R1_previous reinit lineage. This March 13 -> March 14 R1 label refers to the Phase 3B validation branch, not to the Phase 1 recipe-code family.","Main Mindoro B1 Phase 3B observation-based spatial validation view. This page will use the March 13 -> March 14 R1 primary validation row only. Phase 3B itself does not directly ingest drifters; it inherits the official cmems_gfs B1 recipe from the separate focused 2016-2023 Mindoro drifter rerun after that four-recipe rerun found cmems_gfs as the historical winner and promoted it directly into official B1, while the broader 2016-2022 regional rerun stays reference-only. The stored promoted B1 run remains tied to the existing R1_previous reinit lineage. Keep the shared March 12 imagery caveat explicit.","March 13 -> March 14 R1 primary validation row only; the focused 2016-2023 Mindoro drifter rerun found cmems_gfs as the historical winner, official B1 now uses cmems_gfs, and the stored promoted run remains tied to the existing R1_previous reinit lineage.",thesis_main,Thesis-facing main surface,Eligible for thesis-facing home and main presentation surfaces.,True,True,False,True,True,True,False,False,False,110,mindoro_validation,,,,page_support
case_mindoro_retro_2023__phase3b_reinit_primary__observation__single_seed_target_compare__2023_03_13_to_2023_03_14__single__paper__march13_seed_vs_march14_target,Mindoro March 13 seed vs March 14 target,A,Mindoro March 13 -> March 14 primary validation package,CASE_MINDORO_RETRO_2023,phase3b_reinit_primary,2023-03-13_to_2023-03-14,observation,single_seed_target_compare,,single,paper,output/figure_package_publication/case_mindoro_retro_2023__phase3b_reinit_primary__observation__single_seed_target_compare__2023_03_13_to_2023_03_14__single__paper__march13_seed_vs_march14_target.png,/app/output/figure_package_publication/case_mindoro_retro_2023__phase3b_reinit_primary__observation__single_seed_target_compare__2023_03_13_to_2023_03_14__single__paper__march13_seed_vs_march14_target.png,2860,1760,"This figure makes the promoted March 13 seed and March 14 observation geometry explicit before any model overlay is shown for phase 3b observation-based spatial validation using public mindoro spill extents, using the stored on-grid rasters rather than the earlier QA composite.",False,True,data/arcgis/CASE_MINDORO_RETRO_2023/source_point_metadata_processed.gpkg | output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit/march13_seed_mask_on_grid.tif | output/CASE_MINDORO_RETRO_2023/phase3b_extended_public/accepted_obs_masks/10b37c42a9754363a5f7b14199b077e6.tif,"Built from the stored March 13 seed mask and March 14 observation mask only, with the shared-imagery caveat and the separate focused Phase 1 provenance note carried into the note box.",mindoro_primary_validation,Mindoro March 13 -> March 14 R1 primary validation row,primary_validation,reportable_now_inherited_provisional,promoted_primary_validation,not_frozen,"March 13 seed, March 14 target, explicit shared March 12 imagery caveat, active Mindoro-specific recipe provenance from the separate focused 2016-2023 drifter rerun, and the preserved raw scientific note that the stored promoted B1 run remains tied to the existing R1_previous reinit lineage. This March 13 -> March 14 R1 label refers to the Phase 3B validation branch, not to the Phase 1 recipe-code family.","Main Mindoro B1 Phase 3B observation-based spatial validation view. This page will use the March 13 -> March 14 R1 primary validation row only. Phase 3B itself does not directly ingest drifters; it inherits the official cmems_gfs B1 recipe from the separate focused 2016-2023 Mindoro drifter rerun after that four-recipe rerun found cmems_gfs as the historical winner and promoted it directly into official B1, while the broader 2016-2022 regional rerun stays reference-only. The stored promoted B1 run remains tied to the existing R1_previous reinit lineage. Keep the shared March 12 imagery caveat explicit.","March 13 -> March 14 R1 primary validation row only; the focused 2016-2023 Mindoro drifter rerun found cmems_gfs as the historical winner, official B1 now uses cmems_gfs, and the stored promoted run remains tied to the existing R1_previous reinit lineage.",thesis_main,Thesis-facing main surface,Eligible for thesis-facing home and main presentation surfaces.,True,True,False,True,True,True,False,False,False,120,mindoro_validation,,,,page_support
case_mindoro_retro_2023__phase3b_reinit_primary__observation__single_target_observation__2023_03_14__single__paper__march14_target_mask_on_grid,Mindoro March 14 target mask on grid,A,Mindoro March 13 -> March 14 primary validation package,CASE_MINDORO_RETRO_2023,phase3b_reinit_primary,2023-03-14,observation,single_target_observation,,single,paper,output/figure_package_publication/case_mindoro_retro_2023__phase3b_reinit_primary__observation__single_target_observation__2023_03_14__single__paper__march14_target_mask_on_grid.png,/app/output/figure_package_publication/case_mindoro_retro_2023__phase3b_reinit_primary__observation__single_target_observation__2023_03_14__single__paper__march14_target_mask_on_grid.png,2860,1760,This figure isolates the March 14 NOAA target mask so the comparator lane can show the scoring truth without folding the seed geometry into every observation panel.,False,True,output/CASE_MINDORO_RETRO_2023/phase3b_extended_public/accepted_obs_masks/10b37c42a9754363a5f7b14199b077e6.tif,Built from the stored March 14 observation mask only; this is the scoring truth surface for the promoted March 13 -> March 14 validation pair.,mindoro_primary_validation,Mindoro March 13 -> March 14 R1 primary validation row,primary_validation,reportable_now_inherited_provisional,promoted_primary_validation,not_frozen,"March 13 seed, March 14 target, explicit shared March 12 imagery caveat, active Mindoro-specific recipe provenance from the separate focused 2016-2023 drifter rerun, and the preserved raw scientific note that the stored promoted B1 run remains tied to the existing R1_previous reinit lineage. This March 13 -> March 14 R1 label refers to the Phase 3B validation branch, not to the Phase 1 recipe-code family.","Main Mindoro B1 Phase 3B observation-based spatial validation view. This page will use the March 13 -> March 14 R1 primary validation row only. Phase 3B itself does not directly ingest drifters; it inherits the official cmems_gfs B1 recipe from the separate focused 2016-2023 Mindoro drifter rerun after that four-recipe rerun found cmems_gfs as the historical winner and promoted it directly into official B1, while the broader 2016-2022 regional rerun stays reference-only. The stored promoted B1 run remains tied to the existing R1_previous reinit lineage. Keep the shared March 12 imagery caveat explicit.","March 13 -> March 14 R1 primary validation row only; the focused 2016-2023 Mindoro drifter rerun found cmems_gfs as the historical winner, official B1 now uses cmems_gfs, and the stored promoted run remains tied to the existing R1_previous reinit lineage.",thesis_main,Thesis-facing main surface,Eligible for thesis-facing home and main presentation surfaces.,True,True,False,True,True,True,False,False,False,130,mindoro_validation,,,,page_support
case_mindoro_retro_2023__phase3b_reinit_primary__observation__single_seed_observation__2023_03_13__single__paper__march13_seed_mask_on_grid,Mindoro March 13 seed mask on grid,A,Mindoro March 13 -> March 14 primary validation package,CASE_MINDORO_RETRO_2023,phase3b_reinit_primary,2023-03-13,observation,single_seed_observation,,single,paper,output/figure_package_publication/case_mindoro_retro_2023__phase3b_reinit_primary__observation__single_seed_observation__2023_03_13__single__paper__march13_seed_mask_on_grid.png,/app/output/figure_package_publication/case_mindoro_retro_2023__phase3b_reinit_primary__observation__single_seed_observation__2023_03_13__single__paper__march13_seed_mask_on_grid.png,2860,1760,This figure redraws the stored March 13 seed geometry on the scoring grid so phase 3b observation-based spatial validation using public mindoro spill extents starts from a publication-grade observation panel rather than a QA screenshot.,False,True,data/arcgis/CASE_MINDORO_RETRO_2023/source_point_metadata_processed.gpkg | output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit/march13_seed_mask_on_grid.tif,"Built from the stored March 13 seed mask raster, shoreline context, and source-point geometry only; no scientific rerun was triggered, and the later 2016-2023 Mindoro-focused drifter rerun now provides the active B1 recipe-provenance story.",mindoro_primary_validation,Mindoro March 13 -> March 14 R1 primary validation row,primary_validation,reportable_now_inherited_provisional,promoted_primary_validation,not_frozen,"March 13 seed, March 14 target, explicit shared March 12 imagery caveat, active Mindoro-specific recipe provenance from the separate focused 2016-2023 drifter rerun, and the preserved raw scientific note that the stored promoted B1 run remains tied to the existing R1_previous reinit lineage. This March 13 -> March 14 R1 label refers to the Phase 3B validation branch, not to the Phase 1 recipe-code family.","Main Mindoro B1 Phase 3B observation-based spatial validation view. This page will use the March 13 -> March 14 R1 primary validation row only. Phase 3B itself does not directly ingest drifters; it inherits the official cmems_gfs B1 recipe from the separate focused 2016-2023 Mindoro drifter rerun after that four-recipe rerun found cmems_gfs as the historical winner and promoted it directly into official B1, while the broader 2016-2022 regional rerun stays reference-only. The stored promoted B1 run remains tied to the existing R1_previous reinit lineage. Keep the shared March 12 imagery caveat explicit.","March 13 -> March 14 R1 primary validation row only; the focused 2016-2023 Mindoro drifter rerun found cmems_gfs as the historical winner, official B1 now uses cmems_gfs, and the stored promoted run remains tied to the existing R1_previous reinit lineage.",thesis_main,Thesis-facing main surface,Eligible for thesis-facing home and main presentation surfaces.,True,True,False,True,True,True,False,False,False,140,mindoro_validation,,,,page_support
case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift_vs_pygnome__comparison_board__2023_03_14__board__slide__mindoro_crossmodel_board,Mindoro March 13 -> March 14 cross-model comparator board,B,Mindoro March 13 -> March 14 cross-model publication package,CASE_MINDORO_RETRO_2023,phase3a_reinit_crossmodel,2023-03-14,opendrift_vs_pygnome,comparison_board,,board,slide,output/figure_package_publication/case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift_vs_pygnome__comparison_board__2023_03_14__board__slide__mindoro_crossmodel_board.png,/app/output/figure_package_publication/case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift_vs_pygnome__comparison_board__2023_03_14__board__slide__mindoro_crossmodel_board.png,3520,1980,This board answers the cross-model question on the promoted March 14 target without treating PyGNOME as truth and without upgrading the shared-imagery pair into an independent day-to-day validation claim.,True,False,data/arcgis/CASE_MINDORO_RETRO_2023/source_point_metadata_processed.gpkg | output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit/march13_seed_mask_on_grid.tif | output/CASE_MINDORO_RETRO_2023/phase3b_extended_public/accepted_obs_masks/10b37c42a9754363a5f7b14199b077e6.tif | output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit/R1_previous/forecast_datecomposites/mask_p50_2023-03-14_localdate.tif | output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit_pygnome_comparison/tracks/pygnome_reinit_deterministic/pygnome_footprint_mask_2023-03-14_localdate.tif,Board assembled from publication-grade March 13 -> March 14 singles rebuilt from stored rasters only; PyGNOME remains comparator-only.,mindoro_crossmodel_comparator,Mindoro March 13 -> March 14 Track A comparator support,comparator_only,reportable_comparator_inherited_provisional,comparator_only_not_truth,not_frozen,Same March 14 target as the March 13 -> March 14 R1 primary validation row; same-case Track A comparator support remains separate from truth and PyGNOME remains comparator-only.,"Same-case Track A comparator support attached to the March 13 -> March 14 R1 primary validation row on the March 14 target. PyGNOME is a comparator, not truth, and Track A is not a co-primary validation row. Archived March 13 -> March 14 R0 comparator outputs are not part of this thesis-facing view.",Same-case Track A comparator-only support attached to the March 13 -> March 14 R1 primary validation row.,comparator_support,Support / comparator surface,"Support, comparator, or context material kept separate from the primary thesis claim.",True,True,False,True,True,True,False,False,True,200,cross_model_comparison,,,,page_support
case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift__single_model_overlay__2023_03_14__single__paper__march14_crossmodel_r1_overlay,Mindoro March 14 OpenDrift R1_previous,B,Mindoro March 13 -> March 14 cross-model publication package,CASE_MINDORO_RETRO_2023,phase3a_reinit_crossmodel,2023-03-14,opendrift,single_model_overlay,,single,paper,output/figure_package_publication/case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift__single_model_overlay__2023_03_14__single__paper__march14_crossmodel_r1_overlay.png,/app/output/figure_package_publication/case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift__single_model_overlay__2023_03_14__single__paper__march14_crossmodel_r1_overlay.png,2860,1760,"This figure shows the top-ranked OpenDrift model in the stored March 14 cross-model bundle, redrawn from the saved rasters instead of copied from QA.",True,True,data/arcgis/CASE_MINDORO_RETRO_2023/source_point_metadata_processed.gpkg | output/CASE_MINDORO_RETRO_2023/phase3b_extended_public/accepted_obs_masks/10b37c42a9754363a5f7b14199b077e6.tif | output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit/march13_seed_mask_on_grid.tif | output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit/R1_previous/forecast_datecomposites/mask_p50_2023-03-14_localdate.tif,"Built from the stored March 14 observation mask, March 13 seed mask outline, and the stored OpenDrift R1 previous p50 raster only.",mindoro_crossmodel_comparator,Mindoro March 13 -> March 14 Track A comparator support,comparator_only,reportable_comparator_inherited_provisional,comparator_only_not_truth,not_frozen,Same March 14 target as the March 13 -> March 14 R1 primary validation row; same-case Track A comparator support remains separate from truth and PyGNOME remains comparator-only.,"Same-case Track A comparator support attached to the March 13 -> March 14 R1 primary validation row on the March 14 target. PyGNOME is a comparator, not truth, and Track A is not a co-primary validation row. Archived March 13 -> March 14 R0 comparator outputs are not part of this thesis-facing view.",Same-case Track A comparator-only support attached to the March 13 -> March 14 R1 primary validation row.,comparator_support,Support / comparator surface,"Support, comparator, or context material kept separate from the primary thesis claim.",True,True,False,True,True,True,False,False,True,210,cross_model_comparison,,,,page_support
case_mindoro_retro_2023__phase3a_reinit_crossmodel__pygnome__single_model_overlay__2023_03_14__single__paper__march14_crossmodel_pygnome_overlay,Mindoro March 14 PyGNOME comparator,B,Mindoro March 13 -> March 14 cross-model publication package,CASE_MINDORO_RETRO_2023,phase3a_reinit_crossmodel,2023-03-14,pygnome,single_model_overlay,,single,paper,output/figure_package_publication/case_mindoro_retro_2023__phase3a_reinit_crossmodel__pygnome__single_model_overlay__2023_03_14__single__paper__march14_crossmodel_pygnome_overlay.png,/app/output/figure_package_publication/case_mindoro_retro_2023__phase3a_reinit_crossmodel__pygnome__single_model_overlay__2023_03_14__single__paper__march14_crossmodel_pygnome_overlay.png,2860,1760,"This figure preserves the PyGNOME comparator in the promoted March 14 lane without treating it as truth, rebuilt from the stored comparator mask rather than pasted from QA.",False,True,data/arcgis/CASE_MINDORO_RETRO_2023/source_point_metadata_processed.gpkg | output/CASE_MINDORO_RETRO_2023/phase3b_extended_public/accepted_obs_masks/10b37c42a9754363a5f7b14199b077e6.tif | output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit/march13_seed_mask_on_grid.tif | output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit_pygnome_comparison/tracks/pygnome_reinit_deterministic/pygnome_footprint_mask_2023-03-14_localdate.tif,"Built from the stored March 14 observation mask, March 13 seed mask outline, and the stored PyGNOME comparator raster only.",mindoro_crossmodel_comparator,Mindoro March 13 -> March 14 Track A comparator support,comparator_only,reportable_comparator_inherited_provisional,comparator_only_not_truth,not_frozen,Same March 14 target as the March 13 -> March 14 R1 primary validation row; same-case Track A comparator support remains separate from truth and PyGNOME remains comparator-only.,"Same-case Track A comparator support attached to the March 13 -> March 14 R1 primary validation row on the March 14 target. PyGNOME is a comparator, not truth, and Track A is not a co-primary validation row. Archived March 13 -> March 14 R0 comparator outputs are not part of this thesis-facing view.",Same-case Track A comparator-only support attached to the March 13 -> March 14 R1 primary validation row.,comparator_support,Support / comparator surface,"Support, comparator, or context material kept separate from the primary thesis claim.",True,True,False,True,True,True,False,False,True,220,cross_model_comparison,,,,page_support
case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift_vs_pygnome__comparison_board__2023_03_13_to_2023_03_14__board__slide__mindoro_observed_masks_ensemble_pygnome_board,"Mindoro March 13 -> March 14 observed masks, ensemble forecast, and PyGNOME board",B,Mindoro March 13 -> March 14 cross-model publication package,CASE_MINDORO_RETRO_2023,phase3a_reinit_crossmodel,2023-03-13_to_2023-03-14,opendrift_vs_pygnome,comparison_board,,board,slide,output/figure_package_publication/case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift_vs_pygnome__comparison_board__2023_03_13_to_2023_03_14__board__slide__mindoro_observed_masks_ensemble_pygnome_board.png,/app/output/figure_package_publication/case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift_vs_pygnome__comparison_board__2023_03_13_to_2023_03_14__board__slide__mindoro_observed_masks_ensemble_pygnome_board.png,3520,1980,"This board keeps the March 13 seed mask, the March 14 target mask, the promoted OpenDrift ensemble forecast, and the PyGNOME comparator visible together without treating PyGNOME as truth.",False,False,data/arcgis/CASE_MINDORO_RETRO_2023/source_point_metadata_processed.gpkg | output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit/march13_seed_mask_on_grid.tif | output/CASE_MINDORO_RETRO_2023/phase3b_extended_public/accepted_obs_masks/10b37c42a9754363a5f7b14199b077e6.tif | output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit/R1_previous/forecast_datecomposites/mask_p50_2023-03-14_localdate.tif | output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit_pygnome_comparison/tracks/pygnome_reinit_deterministic/pygnome_footprint_mask_2023-03-14_localdate.tif,"Board assembled from publication-grade observation, OpenDrift, and PyGNOME singles rebuilt from stored rasters only; March 14 remains the scoring truth and PyGNOME remains comparator-only.",mindoro_crossmodel_comparator,Mindoro March 13 -> March 14 Track A comparator support,comparator_only,reportable_comparator_inherited_provisional,comparator_only_not_truth,not_frozen,Same March 14 target as the March 13 -> March 14 R1 primary validation row; same-case Track A comparator support remains separate from truth and PyGNOME remains comparator-only.,"Same-case Track A comparator support attached to the March 13 -> March 14 R1 primary validation row on the March 14 target. PyGNOME is a comparator, not truth, and Track A is not a co-primary validation row. Archived March 13 -> March 14 R0 comparator outputs are not part of this thesis-facing view.",Same-case Track A comparator-only support attached to the March 13 -> March 14 R1 primary validation row.,comparator_support,Support / comparator surface,"Support, comparator, or context material kept separate from the primary thesis claim.",True,True,False,True,True,True,False,False,True,230,cross_model_comparison,,,,page_support
case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift_vs_pygnome__single_comparison_overlay__2023_03_13_to_2023_03_14__single__paper__mindoro_observed_masks_ensemble_pygnome_overlay,"Mindoro March 13-14 observed masks, ensemble forecast, and PyGNOME overlay",B,Mindoro March 13 -> March 14 cross-model publication package,CASE_MINDORO_RETRO_2023,phase3a_reinit_crossmodel,2023-03-13_to_2023-03-14,opendrift_vs_pygnome,single_comparison_overlay,,single,paper,output/figure_package_publication/case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift_vs_pygnome__single_comparison_overlay__2023_03_13_to_2023_03_14__single__paper__mindoro_observed_masks_ensemble_pygnome_overlay.png,/app/output/figure_package_publication/case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift_vs_pygnome__single_comparison_overlay__2023_03_13_to_2023_03_14__single__paper__mindoro_observed_masks_ensemble_pygnome_overlay.png,2860,1760,"This single overlay keeps the March 13 observed extent, the March 14 observed target, the promoted ensemble forecast, and the PyGNOME comparator visible together on one map.",False,True,data/arcgis/CASE_MINDORO_RETRO_2023/source_point_metadata_processed.gpkg | output/CASE_MINDORO_RETRO_2023/phase3b_extended_public/accepted_obs_masks/10b37c42a9754363a5f7b14199b077e6.tif | output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit/march13_seed_mask_on_grid.tif | output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit/R1_previous/forecast_datecomposites/mask_p50_2023-03-14_localdate.tif | output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit_pygnome_comparison/tracks/pygnome_reinit_deterministic/pygnome_footprint_mask_2023-03-14_localdate.tif,"Built from the stored March 13 seed mask, March 14 target mask, promoted OpenDrift ensemble raster, and stored PyGNOME comparator raster only.",mindoro_crossmodel_comparator,Mindoro March 13 -> March 14 Track A comparator support,comparator_only,reportable_comparator_inherited_provisional,comparator_only_not_truth,not_frozen,Same March 14 target as the March 13 -> March 14 R1 primary validation row; same-case Track A comparator support remains separate from truth and PyGNOME remains comparator-only.,"Same-case Track A comparator support attached to the March 13 -> March 14 R1 primary validation row on the March 14 target. PyGNOME is a comparator, not truth, and Track A is not a co-primary validation row. Archived March 13 -> March 14 R0 comparator outputs are not part of this thesis-facing view.",Same-case Track A comparator-only support attached to the March 13 -> March 14 R1 primary validation row.,comparator_support,Support / comparator surface,"Support, comparator, or context material kept separate from the primary thesis claim.",True,True,False,True,True,False,False,False,True,231,cross_model_comparison,,,,appendix_support
